1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,8,9
4800 Adults,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credibility Interval: ± ,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,All,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Male,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,Female,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,18-34,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,35-49,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,50-64,Suburban,Rural,Male,Female,Northeas,Midwest,South,West,65+,18-49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White,74,100,0,0,**,**,**,67,64,66,65,69,100,100,69,66,64,67,63,80,52,66,70,75,72,63,61,61,81,54,66,65,65,65,63,66,69,55,70,75,60,69,48,56,67,74,61,60,65,60,61,71,63,66,61,70,66,64,63,66,67,65,60,67,50,71,69,77,69,68,69,80,62,55,79,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,10,0,100,0,**,**,**,14,13,11,12,7,0,0,12,11,14,10,10,3,22,11,8,5,9,13,12,18,2,22,11,13,12,11,15,11,7,18,8,10,12,12,21,14,11,13,4,20,12,16,15,8,17,10,12,10,11,12,10,12,12,12,13,12,20,11,9,8,9,9,11,10,18,4,9,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hispanic, Latino, or Mexican",9,0,0,100,**,**,**,12,16,15,15,15,0,0,12,15,16,12,20,11,18,15,14,15,12,16,19,15,10,16,17,15,14,14,16,14,14,18,15,9,20,12,25,20,14,7,28,11,14,15,17,14,13,16,18,13,15,17,17,14,13,15,20,14,22,11,14,9,14,14,12,6,15,26,7,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,3,0,0,0,**,**,**,1,3,6,4,6,0,0,2,3,3,8,5,4,5,4,5,2,4,5,5,4,3,5,3,2,5,8,2,5,7,5,5,1,4,4,2,5,5,3,4,5,5,5,4,4,4,5,5,4,5,5,6,4,3,5,3,4,5,3,5,1,5,6,5,2,2,9,3,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multiracial,1,0,0,0,**,**,**,2,2,2,2,0,0,0,2,3,1,2,1,1,1,2,2,0,2,2,2,2,2,1,1,3,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,3,2,3,2,3,1,1,2,2,1,2,3,1,2,2,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some other way,2,0,0,0,**,**,**,3,2,1,2,2,0,0,2,2,1,1,2,2,1,2,2,3,1,1,1,1,2,1,1,2,2,2,2,1,2,2,1,3,2,2,2,2,2,1,1,3,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,3,2,1,2,1,1,3,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Composition of Adults,44,65,12,15,4,2,2,10,35,43,100,10,23,28,10,29,28,24,8,29,37,49,25,10,22,36,17,8,32,34,27,37,51,35,41,36,24,37,46,17,33,66,9,31,91,26,23,20,31,21,28,48,26,69,26,28,33,32,11,87,18,81,11,87,29,26,47,24,23,24,18,21,37,23,18,56
